client_order_id,symbol,side,quantity,order_type,status,limit_price
2016-01-05-0001,AMZN,BUY,308,MARKET,FILLED,
2016-01-05-0002,ANDV,BUY,93,MARKET,FILLED,
2016-01-05-0003,GOOGL,BUY,261,MARKET,FILLED,
2016-01-05-0004,HRL,BUY,254,MARKET,FILLED,
2016-01-05-0005,NFLX,BUY,904,MARKET,FILLED,
2016-01-05-0006,SBUX,BUY,169,MARKET,FILLED,
2016-01-05-0007,STZ,BUY,70,MARKET,FILLED,
2016-01-05-0008,VLO,BUY,142,MARKET,FILLED,
2016-01-05-0009,VMC,BUY,107,MARKET,FILLED,
2016-01-05-0010,VRSN,BUY,122,MARKET,FILLED,
2016-02-02-0001,ANDV,SELL,93,MARKET,FILLED,
2016-02-02-0002,GOOGL,SELL,23,MARKET,FILLED,
2016-02-02-0003,HRL,SELL,21,MARKET,FILLED,
2016-02-02-0004,NFLX,SELL,904,MARKET,FILLED,
2016-02-02-0005,SBUX,SELL,169,MARKET,FILLED,
2016-02-02-0006,STZ,SELL,70,MARKET,FILLED,
2016-02-02-0007,VLO,SELL,142,MARKET,FILLED,
2016-02-02-0008,VMC,SELL,107,MARKET,FILLED,
2016-02-02-0009,AMZN,BUY,26,MARKET,FILLED,
2016-02-02-0010,AVGO,BUY,706,MARKET,FILLED,
2016-02-02-0011,EQIX,BUY,30,MARKET,FILLED,
2016-02-02-0012,EXPE,BUY,94,MARKET,FILLED,
2016-02-02-0013,FSLR,BUY,140,MARKET,FILLED,
2016-02-02-0014,GOOG,BUY,243,MARKET,FILLED,
2016-02-02-0015,MSFT,BUY,176,MARKET,FILLED,
2016-02-02-0016,VRSN,BUY,5,MARKET,FILLED,
2016-03-02-0001,AVGO,SELL,706,MARKET,FILLED,
2016-03-02-0002,EXPE,SELL,94,MARKET,FILLED,
2016-03-02-0003,FSLR,SELL,140,MARKET,FILLED,
2016-03-02-0004,HRL,SELL,9,MARKET,FILLED,
2016-03-02-0005,MSFT,SELL,176,MARKET,FILLED,
2016-03-02-0006,VRSN,SELL,127,MARKET,FILLED,
2016-03-02-0007,AIZ,BUY,132,MARKET,FILLED,
2016-03-02-0008,EQIX,BUY,1,MARKET,FILLED,
2016-03-02-0009,EXR,BUY,115,MARKET,FILLED,
2016-03-02-0010,GOOG,BUY,25,MARKET,FILLED,
2016-03-02-0011,GOOGL,BUY,22,MARKET,FILLED,
2016-03-02-0012,PSA,BUY,37,MARKET,FILLED,
2016-03-02-0013,SBUX,BUY,161,MARKET,FILLED,
2016-03-02-0014,STZ,BUY,67,MARKET,FILLED,
2016-04-04-0001,AIZ,SELL,132,MARKET,FILLED,
2016-04-04-0002,EXR,SELL,115,MARKET,FILLED,
2016-04-04-0003,GOOG,SELL,268,MARKET,FILLED,
2016-04-04-0004,SBUX,SELL,161,MARKET,FILLED,
2016-04-04-0005,STZ,SELL,67,MARKET,FILLED,
2016-04-04-0006,AMZN,BUY,6,MARKET,FILLED,
2016-04-04-0007,CPB,BUY,156,MARKET,FILLED,
2016-04-04-0008,GOOGL,BUY,4,MARKET,FILLED,
2016-04-04-0009,HRL,BUY,7,MARKET,FILLED,
2016-04-04-0010,MAT,BUY,295,MARKET,FILLED,
2016-04-04-0011,MSFT,BUY,183,MARKET,FILLED,
2016-04-04-0012,NFLX,BUY,962,MARKET,FILLED,
2016-04-04-0013,TSN,BUY,149,MARKET,FILLED,
2016-05-03-0001,AMZN,SELL,55,MARKET,FILLED,
2016-05-03-0002,EQIX,SELL,31,MARKET,FILLED,
2016-05-03-0003,MAT,SELL,295,MARKET,FILLED,
2016-05-03-0004,MSFT,SELL,183,MARKET,FILLED,
2016-05-03-0005,NFLX,SELL,962,MARKET,FILLED,
2016-05-03-0006,TSN,SELL,5,MARKET,FILLED,
2016-05-03-0007,EW,BUY,272,MARKET,FILLED,
2016-05-03-0008,EXR,BUY,110,MARKET,FILLED,
2016-05-03-0009,GOOGL,BUY,6,MARKET,FILLED,
2016-05-03-0010,HRL,BUY,18,MARKET,FILLED,
2016-05-03-0011,NI,BUY,419,MARKET,FILLED,
2016-05-03-0012,PSA,BUY,1,MARKET,FILLED,
2016-05-03-0013,VRSN,BUY,110,MARKET,FILLED,
2016-06-02-0001,AMZN,SELL,18,MARKET,FILLED,
2016-06-02-0002,CPB,SELL,156,MARKET,FILLED,
2016-06-02-0003,EXR,SELL,110,MARKET,FILLED,
2016-06-02-0004,GOOGL,SELL,270,MARKET,FILLED,
2016-06-02-0005,NI,SELL,419,MARKET,FILLED,
2016-06-02-0006,PSA,SELL,38,MARKET,FILLED,
2016-06-02-0007,AWK,BUY,127,MARKET,FILLED,
2016-06-02-0008,AYI,BUY,37,MARKET,FILLED,
2016-06-02-0009,CINF,BUY,138,MARKET,FILLED,
2016-06-02-0010,DLR,BUY,100,MARKET,FILLED,
2016-06-02-0011,EW,BUY,16,MARKET,FILLED,
2016-06-02-0012,GPN,BUY,123,MARKET,FILLED,
2016-06-02-0013,HRL,BUY,30,MARKET,FILLED,
2016-06-02-0014,TSN,BUY,5,MARKET,FILLED,
2016-06-02-0015,VRSN,BUY,3,MARKET,FILLED,
2016-07-05-0001,AWK,SELL,10,MARKET,FILLED,
2016-07-05-0002,AYI,SELL,37,MARKET,FILLED,
2016-07-05-0003,CINF,SELL,138,MARKET,FILLED,
2016-07-05-0004,DLR,SELL,10,MARKET,FILLED,
2016-07-05-0005,EW,SELL,288,MARKET,FILLED,
2016-07-05-0006,HRL,SELL,279,MARKET,FILLED,
2016-07-05-0007,VRSN,SELL,113,MARKET,FILLED,
2016-07-05-0008,ALB,BUY,123,MARKET,FILLED,
2016-07-05-0009,AMZN,BUY,6,MARKET,FILLED,
2016-07-05-0010,EQIX,BUY,25,MARKET,FILLED,
2016-07-05-0011,GPN,BUY,15,MARKET,FILLED,
2016-07-05-0012,NI,BUY,369,MARKET,FILLED,
2016-07-05-0013,TAP,BUY,97,MARKET,FILLED,
2016-07-05-0014,ULTA,BUY,40,MARKET,FILLED,
2016-08-02-0001,ALB,SELL,3,MARKET,FILLED,
2016-08-02-0002,AMZN,SELL,273,MARKET,FILLED,
2016-08-02-0003,GPN,SELL,138,MARKET,FILLED,
2016-08-02-0004,TSN,SELL,13,MARKET,FILLED,
2016-08-02-0005,ULTA,SELL,2,MARKET,FILLED,
2016-08-02-0006,AWK,BUY,5,MARKET,FILLED,
2016-08-02-0007,DLR,BUY,5,MARKET,FILLED,
2016-08-02-0008,EQIX,BUY,1,MARKET,FILLED,
2016-08-02-0009,NEM,BUY,224,MARKET,FILLED,
2016-08-02-0010,NI,BUY,23,MARKET,FILLED,
2016-08-02-0011,O,BUY,145,MARKET,FILLED,
2016-08-02-0012,TAP,BUY,2,MARKET,FILLED,
2016-09-02-0001,ALB,SELL,4,MARKET,FILLED,
2016-09-02-0002,EQIX,SELL,26,MARKET,FILLED,
2016-09-02-0003,NI,SELL,392,MARKET,FILLED,
2016-09-02-0004,TAP,SELL,99,MARKET,FILLED,
2016-09-02-0005,TSN,SELL,9,MARKET,FILLED,
2016-09-02-0006,AMAT,BUY,315,MARKET,FILLED,
2016-09-02-0007,AWK,BUY,8,MARKET,FILLED,
2016-09-02-0008,DHR,BUY,132,MARKET,FILLED,
2016-09-02-0009,EW,BUY,248,MARKET,FILLED,
2016-09-02-0010,NEM,BUY,13,MARKET,FILLED,
2016-09-02-0011,O,BUY,4,MARKET,FILLED,
2016-10-04-0001,ALB,SELL,6,MARKET,FILLED,
2016-10-04-0002,AWK,SELL,130,MARKET,FILLED,
2016-10-04-0003,EW,SELL,248,MARKET,FILLED,
2016-10-04-0004,O,SELL,149,MARKET,FILLED,
2016-10-04-0005,TSN,SELL,2,MARKET,FILLED,
2016-10-04-0006,ULTA,SELL,38,MARKET,FILLED,
2016-10-04-0007,ADSK,BUY,131,MARKET,FILLED,
2016-10-04-0008,AYI,BUY,35,MARKET,FILLED,
2016-10-04-0009,DHR,BUY,3,MARKET,FILLED,
2016-10-04-0010,DLR,BUY,5,MARKET,FILLED,
