timestamp,symbol,side,quantity,market_price,fill_price,gross_value,commission,slippage,order_id,portfolio_value,cash,position_quantity
2016-01-05T09:30:00+00:00,AMZN,BUY,308,32.342999,32.375341999,9971.605335692,4.9858026678460,9.961643692,2016-01-05-0001,99995.0141973321540,90023.4088616401540,308
2016-01-05T09:30:00+00:00,ANDV,BUY,93,106.940002,107.046942002,9955.365606186,4.9776828030930,9.945420186,2016-01-05-0002,99990.0365145290610,80063.0655726510610,93
2016-01-05T09:30:00+00:00,GOOGL,BUY,261,38.205002,38.243207002,9981.477027522,4.9907385137610,9.971505522,2016-01-05-0003,99985.0457760153000,70076.5978066153000,261
2016-01-05T09:30:00+00:00,HRL,BUY,254,39.275002,39.314277002,9985.826358508,4.9929131792540,9.975850508,2016-01-05-0004,99980.0528628360460,60085.7785349280460,254
2016-01-05T09:30:00+00:00,NFLX,BUY,904,11.045000,11.056045000,9994.664680000,4.9973323400000,9.984680000,2016-01-05-0005,99975.0555304960460,50086.1165225880460,904
2016-01-05T09:30:00+00:00,SBUX,BUY,169,58.790001,58.848791001,9945.445679169,4.9727228395845,9.935510169,2016-01-05-0006,99970.0828076564615,40135.6981205794615,169
2016-01-05T09:30:00+00:00,STZ,BUY,70,141.559998,141.701557998,9919.109059860,4.9595545299300,9.909199860,2016-01-05-0007,99965.1232531265315,30211.6295061895315,70
2016-01-05T09:30:00+00:00,VLO,BUY,142,70.139999,70.210138999,9969.839737858,4.9849198689290,9.959879858,2016-01-05-0008,99960.1383332576025,20236.8048484626025,142
2016-01-05T09:30:00+00:00,VMC,BUY,107,92.750000,92.842750000,9934.174250000,4.9670871250000,9.924250000,2016-01-05-0009,99955.1712461326025,10297.6635113376025,107
2016-01-05T09:30:00+00:00,VRSN,BUY,122,81.720001,81.801721001,9979.809962122,4.9899049810610,9.969840122,2016-01-05-0010,99950.1813411515415,312.8636442345415,122
2016-02-02T09:30:00+00:00,ANDV,SELL,93,85.269997,85.184727003,7922.179611279,3.9610898056395,7.930109721,2016-02-02-0001,95483.2338187079020,8231.0821657079020,0
2016-02-02T09:30:00+00:00,GOOGL,SELL,23,40.025002,39.984976998,919.654470954,0.4598272354770,0.920575046,2016-02-02-0002,95472.3274659504250,9150.2768094264250,238
2016-02-02T09:30:00+00:00,HRL,SELL,21,40.935001,40.894065999,858.775385979,0.4293876929895,0.859635021,2016-02-02-0003,95461.5005880034355,10008.6228077124355,233
2016-02-02T09:30:00+00:00,NFLX,SELL,904,9.554000,9.544446000,8628.179184000,4.3140895920000,8.636816000,2016-02-02-0004,95448.5496824114355,18632.4879021204355,0
2016-02-02T09:30:00+00:00,SBUX,SELL,169,60.660000,60.599340000,10241.288460000,5.1206442300000,10.251540000,2016-02-02-0005,95433.1774981814355,28868.6557178904355,0
2016-02-02T09:30:00+00:00,STZ,SELL,70,153.589996,153.436406004,10740.548420280,5.3702742101400,10.751299720,2016-02-02-0006,95417.0559242512955,39603.8338639602955,0
2016-02-02T09:30:00+00:00,VLO,SELL,142,67.360001,67.292640999,9555.555021858,4.7777775109290,9.565120142,2016-02-02-0007,95402.7130265983665,49154.6111083073665,0
2016-02-02T09:30:00+00:00,VMC,SELL,107,86.639999,86.553359001,9261.209413107,4.6306047065535,9.270479893,2016-02-02-0008,95388.8119419988130,58411.1899167078130,0
2016-02-02T09:30:00+00:00,AMZN,BUY,26,28.500000,28.528500000,741.741000000,0.3708705000000,0.741000000,2016-02-02-0009,95397.2190714988130,57669.0780462078130,334
2016-02-02T09:30:00+00:00,AVGO,BUY,706,13.501000,13.514501000,9541.237706000,4.7706188530000,9.531706000,2016-02-02-0010,95392.4484526458130,48123.0697213548130,706
2016-02-02T09:30:00+00:00,EQIX,BUY,30,307.929993,308.237922993,9247.137689790,4.6235688448950,9.237899790,2016-02-02-0011,95387.8248838009180,38871.3084627199180,30
2016-02-02T09:30:00+00:00,EXPE,BUY,94,101.440002,101.541442002,9544.895548188,4.7724477740940,9.535360188,2016-02-02-0012,95383.0524360268240,29321.6404667578240,94
2016-02-02T09:30:00+00:00,FSLR,BUY,140,68.050003,68.118053003,9536.527420420,4.7682637102100,9.527000420,2016-02-02-0013,95378.2841723166140,19780.3447826276140,140
2016-02-02T09:30:00+00:00,GOOG,BUY,243,39.224998,39.264222998,9541.206188514,4.7706030942570,9.531674514,2016-02-02-0014,95373.5135692223570,10234.3679910193570,243
2016-02-02T09:30:00+00:00,MSFT,BUY,176,54.169998,54.224167998,9543.453567648,4.7717267838240,9.533919648,2016-02-02-0015,95368.7418424385330,686.1426965875330,176
2016-02-02T09:30:00+00:00,VRSN,BUY,5,75.040001,75.115041001,375.575205005,0.1877876025025,0.375200005,2016-02-02-0016,95377.7089349580305,310.3797039800305,127
2016-03-02T09:30:00+00:00,AVGO,SELL,706,13.785000,13.771215000,9722.477790000,4.8612388950000,9.732210000,2016-03-02-0001,96723.5838950850305,10027.9962550850305,0
