security_id,seed_key,historical_ticker,pit_start,pit_end,pit_intervals,identity_status,market_data_status,vendor_symbol,price_start,price_end,coverage_days,expected_days,coverage_ratio,quality_status,reason,confidence,rebalance_encountered,local_listing_csv,notes
,,CERN,2010-04-30,2022-06-08,2010-04-30→2022-06-08,UNRESOLVED,missing,CERN,,,0,2715,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,CFN,2009-09-01,2015-03-17,2009-09-01→2015-03-17,UNRESOLVED,missing,CFN,,,0,75,0.0000,not_applicable,D_unresolved_identity,low,false,false,No Security Master row and no local CSV under the PIT ticker.
,,CHK,2006-03-03,2018-03-19,2006-03-03→2018-03-19,UNRESOLVED,missing,CHK,,,0,1173,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,CMA,1996-01-02,2024-06-24,1996-01-02→2024-06-24,UNRESOLVED,missing,CMA,,,0,3462,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,CMCSK,2015-09-21,2015-12-14,2015-09-21→2015-12-14,UNRESOLVED,missing,CMCSK,,,0,84,0.0000,not_applicable,D_unresolved_identity,low,false,false,No Security Master row and no local CSV under the PIT ticker.
,,COG,2008-06-23,2021-10-04,2008-06-23→2021-10-04,UNRESOLVED,missing,COG,,,0,2468,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,COV,2011-03-01,2015-01-27,2011-03-01→2015-01-27,UNRESOLVED,missing,COV,,,0,26,0.0000,not_applicable,D_unresolved_identity,low,false,false,No Security Master row and no local CSV under the PIT ticker.
,,CPGX,2015-07-02,2016-07-01,2015-07-02→2016-07-01,UNRESOLVED,missing,CPGX,,,0,365,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,CSRA,2015-11-30,2018-04-04,2015-11-30→2018-04-04,UNRESOLVED,missing,CSRA,,,0,856,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,lumen-technologies,CTL,1999-03-25,2020-09-18,1999-03-25→2020-09-18,RESOLVED,available_other_ticker,LUMN,2013-07-08,2025-12-31,2087,2087,1.0000,valid,G_data_under_other_ticker,high,true,false,Vendor series stored as LUMN.
