symbol,timestamp,open,high,low,close,adjusted_close,volume
AAPL,2013-07-08T14:30:00+00:00,15.003929138183594,15.035714149475098,14.666070938110352,14.823213577270508,12.680607795715332,298138400
AAPL,2013-07-09T14:30:00+00:00,14.771429061889648,15.125,14.656429290771484,15.083929061889648,12.903639793395996,352584400
AAPL,2013-07-10T14:30:00+00:00,14.985713958740234,15.171428680419922,14.9375,15.026070594787598,12.854145050048828,281405600
AAPL,2013-07-11T14:30:00+00:00,15.10535717010498,15.29464340209961,15.041786193847656,15.260356903076172,13.054563522338867,326292400
AAPL,2013-07-12T14:30:00+00:00,15.273214340209961,15.349642753601074,15.121786117553711,15.232500076293945,13.030734062194824,279563200
AAPL,2013-07-15T14:30:00+00:00,15.178929328918457,15.409285545349121,15.171428680419922,15.265713691711426,13.059144973754883,241917200
AAPL,2013-07-16T14:30:00+00:00,15.232856750488281,15.382499694824219,15.14892864227295,15.364286422729492,13.143474578857422,216538000
AAPL,2013-07-17T14:30:00+00:00,15.346428871154785,15.436429023742676,15.293571472167969,15.368213653564453,13.146828651428223,198990400
AAPL,2013-07-18T14:30:00+00:00,15.477856636047363,15.531070709228516,15.378929138183594,15.420000076293945,13.191132545471191,218878800
AAPL,2013-07-19T14:30:00+00:00,15.467857360839844,15.499285697937012,15.155357360839844,15.176786422729492,12.983074188232422,268721600
AAPL,2013-07-22T14:30:00+00:00,15.337857246398926,15.348214149475098,15.195357322692871,15.225357055664062,13.024626731872559,207796400
AAPL,2013-07-23T14:30:00+00:00,15.214285850524902,15.248571395874023,14.95392894744873,14.963929176330566,12.800984382629395,369395600
AAPL,2013-07-24T14:30:00+00:00,15.676071166992188,15.878213882446289,15.545000076293945,15.732500076293945,13.458463668823242,591936800
AAPL,2013-07-25T14:30:00+00:00,15.739286422729492,15.764286041259766,15.564642906188965,15.660714149475098,13.397055625915527,229493600
AAPL,2013-07-26T14:30:00+00:00,15.546428680419922,15.751428604125977,15.5121431350708,15.749643325805664,13.473126411437988,200152400
AAPL,2013-07-29T14:30:00+00:00,15.742856979370117,16.07107162475586,15.721428871154785,15.992500305175781,13.68088150024414,248057600
AAPL,2013-07-30T14:30:00+00:00,16.06999969482422,16.326786041259766,16.043928146362305,16.190000534057617,13.849832534790039,309422400
AAPL,2013-07-31T14:30:00+00:00,16.249643325805664,16.33357048034668,16.051071166992188,16.161785125732422,13.825697898864746,322957600
AAPL,2013-08-01T14:30:00+00:00,16.27678680419922,16.314285278320312,16.187856674194336,16.309999465942383,13.952486991882324,206250800
AAPL,2013-08-02T14:30:00+00:00,16.357500076293945,16.530357360839844,16.30928611755371,16.519285202026367,14.1315279006958,274783600
AAPL,2013-08-05T14:30:00+00:00,16.596071243286133,16.809642791748047,16.50535774230957,16.766071319580078,14.342642784118652,318855600
AAPL,2013-08-06T14:30:00+00:00,16.71500015258789,16.853214263916016,16.506071090698242,16.616071701049805,14.214322090148926,334857600
AAPL,2013-08-07T14:30:00+00:00,16.564285278320312,16.678571701049805,16.491785049438477,16.606428146362305,14.206069946289062,298858000
AAPL,2013-08-08T14:30:00+00:00,16.566429138183594,16.575000762939453,16.355356216430664,16.464643478393555,14.177777290344238,255777200
